#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.15 -0.11  0.46684 -1.445 3.595  4.880  8.70  0.037 0.94 16.417 19.895 18.808 17.505 16.605 15.754 14.784 14.152 13.997  0.467 
 1   9.15  0.17  0.26334 -2.028 3.545  5.013  8.70  0.037 0.00 18.541 23.013 21.667 20.181 19.143 17.942 16.792 16.220 15.981  0.263 
 1   9.15  0.27  0.46461 -1.485 3.582  4.865  9.30  0.038 0.74 17.356 21.209 20.084 18.779 17.810 16.728 15.640 15.026 14.846  0.465 
 1   9.17 -0.05  0.28295 -1.940 3.560  5.017  7.00  0.033 0.00 16.621 20.763 19.496 18.065 17.072 15.986 14.902 14.321 14.105  0.283 
 1   9.17  0.15  0.32993 -1.833 3.559  4.972  6.80  0.032 0.00 16.152 20.313 19.062 17.650 16.651 15.525 14.422 13.837 13.622  0.330 
 1   9.19 -0.11  0.46379 -1.452 3.595  4.881  6.80  0.032 0.00 15.199 18.631 17.552 16.257 15.364 14.533 13.572 12.934 12.784  0.464 
 1   9.19 -0.09  0.20955 -2.184 3.547  5.078  8.20  0.037 0.00 18.430 22.905 21.518 20.009 18.978 17.821 16.694 16.120 15.882  0.210 
 1   9.19 -0.05  0.21495 -2.170 3.546  5.072  8.30  0.037 0.92 17.823 22.347 20.964 19.455 18.413 17.222 16.076 15.505 15.266  0.215 
 1   9.19  0.03  0.54623 -1.269 3.606  4.813 10.10  0.038 0.99 17.315 20.647 19.568 18.306 17.444 16.661 15.719 15.041 14.913  0.546 
 1   9.19  0.11  1.47068  0.751 3.823  4.092  6.60  0.031 0.00  9.492  9.950  9.936  9.494  9.224  8.992  8.719  8.514  8.492  1.471 
 1   9.19  0.15  0.26198 -2.029 3.546  5.015  8.60  0.037 0.00 18.444 22.902 21.558 20.074 19.038 17.842 16.696 16.123 15.885  0.262 
 1   9.21 -0.11  1.31456  0.587 3.829  4.233  9.90  0.038 0.00 13.203 13.597 13.638 13.231 12.974 12.745 12.479 12.275 12.256  1.315 
 1   9.23 -0.25  0.61637 -1.019 3.640  4.753  8.90  0.038 0.00 16.218 18.979 18.041 16.892 16.155 15.562 14.739 14.073 13.973  0.616 
 1   9.23  0.09  0.48824 -1.420 3.591  4.856  6.90  0.033 1.00 14.469 18.020 16.929 15.648 14.736 13.815 12.810 12.168 12.017  0.488 
 1   9.25 -0.45  0.23906 -2.003 3.577  5.074  7.60  0.035 0.00 17.378 21.137 19.942 18.524 17.575 16.709 15.722 15.144 14.947  0.239 
 1   9.25 -0.43  0.30470 -1.803 3.588  5.023  8.50  0.037 0.00 17.778 21.285 20.180 18.824 17.912 17.104 16.154 15.559 15.380  0.305 
 1   9.25 -0.13  0.37728 -1.669 3.581  4.952  8.10  0.037 0.75 16.566 20.379 19.208 17.836 16.882 15.909 14.880 14.288 14.098  0.377 
 1   9.25 -0.05  0.30443 -1.877 3.564  5.002  7.10  0.034 0.00 16.563 20.611 19.375 17.967 16.984 15.921 14.850 14.267 14.058  0.304 
 1   9.25  0.21  0.10182 -3.060 3.444  5.228  4.60  0.019 0.00 17.019 24.582 22.294 20.380 18.787 16.803 15.011 14.477 14.184  0.102 
 1   9.27 -0.35  0.59365 -1.055 3.639  4.768  8.70  0.037 0.00 16.108 18.846 17.930 16.783 16.046 15.452 14.630 13.967 13.863  0.594 
 1   9.27 -0.07  0.10300 -3.023 3.457  5.246  6.90  0.033 0.00 19.228 26.445 24.221 22.329 20.813 18.928 17.259 16.716 16.434  0.103 
 1   9.27 -0.07  0.39141 -1.640 3.579  4.934  7.60  0.035 0.00 16.469 20.197 19.063 17.723 16.777 15.807 14.782 14.186 14.006  0.391 
 1   9.27 -0.03  0.30949 -1.868 3.564  4.998  4.80  0.020 0.00 14.239 18.270 17.041 15.638 14.657 13.590 12.520 11.938 11.730  0.309 
 1   9.29 -0.13  0.47016 -1.431 3.597  4.876  6.80  0.032 0.00 15.147 18.525 17.457 16.169 15.285 14.479 13.531 12.886 12.741  0.470 
 1   9.29  0.13  0.24114 -2.095 3.543  5.031  9.20  0.038 0.95 18.510 23.057 21.695 20.196 19.144 17.918 16.751 16.183 15.943  0.241 
 1   9.29  0.15  1.11988  0.146 3.773  4.381 12.60  0.038 0.00 17.006 17.869 17.724 17.074 16.701 16.386 15.989 15.680 15.647  1.120 
 1   9.29  0.19  0.30754 -1.897 3.553  4.982  7.90  0.036 0.89 16.774 21.137 19.820 18.357 17.335 16.165 15.034 14.457 14.225  0.308 
 1   9.31 -0.09  0.32165 -1.826 3.569  4.995  8.20  0.037 0.00 17.534 21.467 20.263 18.873 17.903 16.883 15.833 15.248 15.048  0.322 
 1   9.31 -0.03  0.18976 -2.300 3.533  5.095  7.40  0.035 0.86 17.369 22.279 20.820 19.258 18.147 16.814 15.571 15.016 14.764  0.190 
 1   9.31  0.07  0.59217 -1.156 3.616  4.776  8.00  0.036 0.00 15.660 18.883 17.802 16.564 15.736 15.010 14.096 13.404 13.289  0.592 
 1   9.31  0.09  0.22776 -2.139 3.542  5.048  8.70  0.037 0.00 18.817 23.360 21.996 20.497 19.447 18.224 17.060 16.492 16.252  0.228 
 1   9.33 -0.39  0.98878  0.048 3.785  4.471  8.50  0.037 0.00 13.149 13.742 13.791 13.241 12.902 12.596 12.218 11.915 11.886  0.989 
 1   9.33 -0.03  0.75715 -0.690 3.674  4.648  9.80  0.038 0.00 16.295 18.567 17.770 16.737 16.112 15.617 14.903 14.315 14.243  0.757 
 1   9.33  0.07  1.04982  0.016 3.763  4.441  8.20  0.037 0.00 12.929 13.881 13.706 13.021 12.630 12.298 11.871 11.534 11.498  1.050 
 1   9.33  0.33  0.30159 -1.914 3.552  4.984  9.40  0.038 0.00 18.955 23.295 21.983 20.524 19.506 18.344 17.219 16.639 16.408  0.302 
 1   9.35 -0.15  1.01450 -0.006 3.769  4.471  9.20  0.038 0.73 13.778 14.733 14.604 13.923 13.514 13.160 12.686 12.295 12.251  1.015 
 1   9.35 -0.11  0.62151 -1.039 3.633  4.750  7.60  0.035 0.00 14.969 17.888 16.884 15.700 14.935 14.315 13.467 12.786 12.683  0.622 
 1   9.35 -0.01  0.19269 -2.283 3.534  5.089  7.60  0.035 0.80 17.609 22.518 21.071 19.515 18.402 17.060 15.806 15.253 15.000  0.193 
 1   9.35  0.05  0.12850 -2.775 3.478  5.181  5.60  0.025 1.00 16.561 22.761 20.945 19.199 17.853 16.159 14.644 14.109 13.827  0.128 
 1   9.35  0.09  0.51738 -1.346 3.597  4.833 10.40  0.038 0.83 18.017 21.571 20.478 19.196 18.285 17.367 16.358 15.716 15.564  0.517 
 1   9.35  0.21  0.26479 -2.026 3.544  5.009  9.00  0.038 0.00 18.834 23.325 21.977 20.489 19.447 18.238 17.082 16.511 16.272  0.265 
 1   9.37 -0.19  0.44169 -1.489 3.595  4.898  9.00  0.038 0.00 17.493 20.912 19.839 18.536 17.644 16.827 15.873 15.241 15.087  0.442 
 1   9.37 -0.15  0.23472 -2.077 3.557  5.058  8.40  0.037 0.94 17.677 21.985 20.635 19.150 18.142 17.053 15.960 15.382 15.154  0.235 
 1   9.37 -0.13  0.18336 -2.329 3.533  5.108  7.00  0.033 0.00 17.593 22.379 20.906 19.339 18.259 17.011 15.824 15.259 15.013  0.183 
 1   9.37  0.05  1.53992  0.901 3.781  3.796 12.50  0.038 0.00 15.018 15.781 15.668 15.073 14.725 14.423 14.045 13.753 13.720  1.540 
 1   9.39 -0.05  0.23264 -2.102 3.550  5.054  8.90  0.038 0.77 18.462 23.014 21.631 20.120 19.073 17.867 16.707 16.138 15.897  0.233 
 1   9.39 -0.03  0.14924 -2.584 3.499  5.137  7.40  0.035 0.74 18.220 24.032 22.340 20.646 19.374 17.780 16.334 15.793 15.519  0.149 
 1   9.39  0.01  0.19129 -2.294 3.532  5.089  9.00  0.038 0.00 19.505 24.243 22.834 21.303 20.220 18.931 17.723 17.165 16.919  0.191 
 1   9.39  0.11  0.15847 -2.534 3.500  5.120  3.90  0.015 0.00 15.006 20.456 18.875 17.237 16.023 14.511 13.144 12.607 12.339  0.158 
 1   9.39  0.13  0.14310 -2.656 3.487  5.143  6.70  0.032 0.00 18.111 24.012 22.298 20.596 19.302 17.679 16.219 15.682 15.405  0.143 
 1   9.39  0.27  0.51934 -1.348 3.594  4.824  5.00  0.021 0.00 13.141 16.660 15.582 14.339 13.435 12.494 11.475 10.809 10.671  0.519 
 1   9.41 -0.15  0.17496 -2.385 3.527  5.119  8.10  0.037 0.73 18.448 23.628 22.056 20.430 19.286 17.916 16.636 16.076 15.820  0.175 
 1   9.41 -0.09  1.07987  0.136 3.781  4.407  9.50  0.038 0.83 13.591 14.429 14.331 13.691 13.314 12.985 12.561 12.221 12.185  1.080 
 1   9.41  0.15  0.66628 -0.971 3.633  4.711 10.80  0.038 0.00 17.997 21.029 19.959 18.762 17.988 17.345 16.483 15.795 15.696  0.666 
 1   9.43 -0.27  0.12361 -2.783 3.488  5.212  4.90  0.021 0.82 16.136 22.655 20.571 18.725 17.366 15.703 14.237 13.675 13.412  0.124 
 1   9.43 -0.25  0.15606 -2.507 3.515  5.143  6.90  0.033 0.93 17.280 22.715 21.007 19.314 18.141 16.750 15.467 14.902 14.643  0.156 
 1   9.43 -0.21  0.50040 -1.335 3.608  4.851  9.60  0.038 0.00 17.708 20.922 19.886 18.624 17.777 17.046 16.135 15.476 15.342  0.500 
 1   9.43 -0.17  0.55008 -1.210 3.618  4.805  9.70  0.038 0.83 16.999 20.203 19.160 17.906 17.067 16.340 15.429 14.765 14.634  0.550 
 1   9.43 -0.15  0.93967 -0.164 3.749  4.519  8.90  0.038 0.00 14.080 15.113 14.929 14.210 13.796 13.440 12.971 12.597 12.556  0.940 
 1   9.43 -0.01  0.31898 -1.844 3.564  4.990  5.80  0.026 0.00 15.181 19.208 17.986 16.589 15.608 14.535 13.462 12.879 12.672  0.319 
 1   9.45 -0.51  0.75134 -0.527 3.713  4.639 10.20  0.038 0.00 16.288 17.713 17.371 16.535 16.049 15.626 15.047 14.574 14.515  0.751 
 1   9.45 -0.31  0.25617 -1.973 3.571  5.048  7.50  0.035 0.00 17.201 21.121 19.884 18.456 17.489 16.543 15.521 14.941 14.738  0.256 
 1   9.45 -0.31  0.22933 -2.070 3.565  5.073  9.20  0.038 0.00 19.144 23.232 21.929 20.465 19.482 18.499 17.455 16.876 16.662  0.229 
 1   9.45 -0.29  0.15754 -2.491 3.518  5.144  5.50  0.024 0.00 16.498 21.747 20.077 18.403 17.264 15.941 14.703 14.135 13.880  0.158 
 1   9.45 -0.27  0.14430 -2.599 3.505  5.163  7.30  0.034 0.00 18.567 24.188 22.410 20.683 19.483 18.051 16.743 16.177 15.916  0.144 
 1   9.45 -0.11  0.22364 -2.125 3.552  5.066  9.10  0.038 0.00 19.182 23.564 22.198 20.703 19.686 18.565 17.458 16.880 16.647  0.224 
 1   9.45 -0.05  0.18047 -2.361 3.526  5.107  7.50  0.035 0.78 17.730 22.844 21.332 19.737 18.592 17.201 15.910 15.358 15.101  0.180 
 1   9.45 -0.05  0.30388 -1.876 3.564  5.000  9.90  0.038 0.00 19.360 23.415 22.178 20.768 19.784 18.721 17.648 17.064 16.855  0.304 
 1   9.45  0.01  0.24418 -2.064 3.550  5.034  8.50  0.037 0.00 18.429 22.821 21.487 20.009 18.987 17.819 16.691 16.116 15.880  0.244 
 1   9.45  0.05  0.44986 -1.508 3.584  4.883  7.70  0.036 0.00 16.239 19.897 18.790 17.487 16.552 15.584 14.558 13.941 13.775  0.450 
 1   9.45  0.07  0.19208 -2.294 3.530  5.083  8.90  0.038 0.00 19.406 24.182 22.768 21.232 20.141 18.837 17.619 17.062 16.815  0.192 
 1   9.45  0.15  0.15540 -2.560 3.496  5.121  7.20  0.034 0.82 17.878 23.710 22.029 20.339 19.057 17.445 15.988 15.451 15.174  0.155 
 1   9.47 -0.27  0.20431 -2.171 3.557  5.092  8.10  0.037 0.89 17.706 22.162 20.738 19.205 18.181 17.089 15.987 15.410 15.176  0.204 
 1   9.47 -0.23  0.56861 -1.144 3.626  4.787  9.20  0.038 0.00 16.830 19.817 18.814 17.606 16.819 16.177 15.313 14.631 14.518  0.569 
 1   9.47 -0.11  0.71524 -0.772 3.664  4.666 10.40  0.038 0.00 17.100 19.511 18.672 17.608 16.953 16.431 15.684 15.066 14.987  0.715 
 1   9.47 -0.09  0.30166 -1.874 3.566  5.003  7.80  0.036 0.00 17.256 21.266 20.036 18.628 17.650 16.611 15.550 14.966 14.760  0.302 
 1   9.47  0.01  0.24931 -2.043 3.551  5.027  7.20  0.034 0.91 16.433 20.841 19.504 18.026 16.999 15.823 14.691 14.117 13.881  0.249 
 1   9.47  0.01  0.28422 -1.936 3.557  5.003  8.60  0.037 0.89 17.575 21.846 20.551 19.102 18.093 16.956 15.845 15.266 15.039  0.284 
