#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.09 -0.17  1.72962  1.182 3.860  3.881 10.10  0.038 0.93 11.330 11.639 11.623 11.332 11.150 10.987 10.797 10.665 10.649  1.730 
 1   9.09  0.11  0.62875 -1.072 3.624  4.751  9.90  0.037 0.00 17.350 20.495 19.409 18.185 17.382 16.702 15.811 15.112 15.005  0.629 
 1   9.09  0.23  0.82420 -0.580 3.681  4.603 10.00  0.037 0.00 16.221 18.501 17.664 16.625 16.009 15.528 14.840 14.286 14.217  0.824 
 1   9.09  0.33  0.72876 -0.826 3.649  4.667  8.70  0.035 0.72 15.249 18.245 17.175 16.000 15.242 14.586 13.723 13.066 12.966  0.729 
 1   9.11  0.13  0.25185 -2.058 3.545  5.023  7.80  0.031 0.95 17.019 21.513 20.161 18.671 17.629 16.419 15.264 14.695 14.456  0.252 
 1   9.11  0.13  0.47449 -1.458 3.587  4.865  8.20  0.033 0.73 16.199 19.953 18.827 17.516 16.568 15.555 14.504 13.887 13.713  0.474 
 1   9.11  0.15  1.32666  0.502 3.809  4.240  8.10  0.032 0.95 10.996 11.578 11.537 11.017 10.708 10.444 10.127  9.884  9.859  1.327 
 1   9.13 -0.07  1.87396  2.870 3.594  1.165  8.90  0.036 0.90  6.478 10.350  8.990  7.535  6.705  5.966  4.902  4.068  3.931  1.874 
 1   9.13  0.19  1.26859  0.398 3.797  4.279  6.10  0.021 0.00  9.874 10.500 10.436  9.888  9.565  9.293  8.965  8.711  8.685  1.269 
 1   9.15 -0.11  0.69185 -0.854 3.654  4.695 10.10  0.038 0.00 17.005 19.587 18.683 17.581 16.890 16.343 15.562 14.916 14.831  0.692 
 1   9.15 -0.07  1.98854  1.743 3.688  2.690 10.60  0.038 0.91 10.710 12.163 11.781 10.954 10.479 10.065  9.465  8.980  8.919  1.989 
 1   9.15 -0.03  0.41554 -1.586 3.581  4.914  8.80  0.035 0.70 17.119 20.938 19.781 18.428 17.473 16.467 15.424 14.827 14.639  0.416 
 1   9.15  0.03  0.68936 -0.900 3.643  4.696  6.70  0.024 0.80 13.320 16.247 15.233 14.057 13.293 12.657 11.803 11.130 11.028  0.689 
 1   9.15  0.05  1.13735  0.185 3.783  4.386  9.50  0.037 0.00 13.808 14.542 14.468 13.869 13.518 13.217 12.842 12.547 12.517  1.137 
 1   9.15  0.25  0.67708 -0.957 3.633  4.704  9.70  0.037 0.82 16.427 19.600 18.510 17.299 16.495 15.777 14.871 14.183 14.076  0.677 
 1   9.15  0.31  1.76899  1.097 3.807  3.762 10.30  0.038 0.00 12.327 12.968 12.847 12.327 12.023 11.770 11.463 11.239 11.210  1.769 
 1   9.17 -0.19  1.46333  0.847 3.857  4.130  7.60  0.030 0.00 10.253 10.553 10.576 10.261 10.061  9.882  9.679  9.529  9.514  1.463 
 1   9.17  0.05  0.75585 -0.724 3.666  4.650 10.60  0.038 0.00 17.180 19.628 18.753 17.680 17.023 16.506 15.764 15.154 15.077  0.756 
 1   9.17  0.07  0.85549 -0.468 3.701  4.589  9.90  0.037 0.00 15.839 17.684 17.067 16.126 15.585 15.149 14.533 14.035 13.976  0.855 
 1   9.19  0.01  1.67122  1.054 3.819  3.829 13.30  0.038 0.00 15.436 15.917 15.890 15.450 15.177 14.938 14.652 14.437 14.413  1.671 
 1   9.19  0.09  0.75399 -0.736 3.663  4.651  7.60  0.030 0.00 14.211 16.712 15.808 14.723 14.056 13.532 12.783 12.167 12.090  0.754 
 1   9.21 -0.47  0.24123 -1.990 3.579  5.073  8.10  0.032 0.93 17.172 20.918 19.724 18.306 17.359 16.500 15.517 14.939 14.743  0.241 
 1   9.21 -0.23  0.53211 -1.249 3.617  4.826  8.70  0.035 0.00 16.594 19.695 18.675 17.439 16.621 15.934 15.047 14.377 14.253  0.532 
 1   9.21  0.13  0.58636 -1.181 3.612  4.782  8.60  0.035 0.00 16.321 19.599 18.512 17.272 16.432 15.672 14.741 14.050 13.932  0.586 
 1   9.21  0.23  0.52552 -1.335 3.595  4.821  8.80  0.035 0.00 16.909 20.422 19.339 18.088 17.187 16.268 15.256 14.586 14.449  0.526 
 1   9.21  0.27  0.94272 -0.282 3.722  4.527  8.70  0.035 0.74 13.944 15.714 15.143 14.223 13.691 13.255 12.646 12.156 12.093  0.943 
 1   9.21  0.29  0.34901 -1.785 3.561  4.956  8.20  0.033 0.75 16.951 21.199 19.935 18.514 17.500 16.337 15.210 14.627 14.407  0.349 
 1   9.21  0.31  0.74635 -0.777 3.655  4.654 11.10  0.038 0.00 17.811 20.575 19.545 18.402 17.694 17.136 16.351 15.718 15.635  0.746 
 1   9.23  0.11  0.39422 -1.650 3.572  4.918  9.10  0.036 0.88 17.399 21.357 20.184 18.828 17.847 16.759 15.676 15.086 14.889  0.394 
 1   9.23  0.25  0.38596 -1.683 3.567  4.923  7.70  0.030 0.88 16.078 20.139 18.940 17.570 16.577 15.449 14.344 13.753 13.549  0.386 
 1   9.25 -0.27  0.46503 -1.418 3.604  4.885  9.50  0.037 0.86 17.250 20.579 19.528 18.234 17.358 16.581 15.647 15.015 14.863  0.465 
 1   9.25  0.13  0.38257 -1.685 3.569  4.929  5.00  0.014 0.00 13.983 17.896 16.734 15.392 14.416 13.330 12.253 11.664 11.470  0.383 
 1   9.25  0.13  0.44521 -1.529 3.581  4.884  8.80  0.035 0.00 17.392 21.124 20.020 18.723 17.772 16.745 15.689 15.078 14.906  0.445 
 1   9.25  0.17  0.88541 -0.412 3.705  4.565  7.90  0.031 0.00 13.701 15.522 14.901 13.964 13.430 13.004 12.403 11.922 11.865  0.885 
 1   9.25  0.19  0.19021 -2.322 3.523  5.077  4.80  0.013 0.71 15.023 20.140 18.659 17.082 15.927 14.499 13.179 12.636 12.376  0.190 
 1   9.27 -0.17  0.88452 -0.311 3.732  4.571  9.10  0.036 0.00 14.647 15.912 15.612 14.822 14.371 13.987 13.468 13.050 13.003  0.885 
 1   9.27 -0.09  1.37182  0.690 3.829  4.148 10.40  0.038 0.78 13.199 13.660 13.675 13.233 12.957 12.711 12.417 12.187 12.164  1.372 
 1   9.27 -0.05  0.75651 -0.690 3.675  4.651 10.60  0.038 0.75 16.800 19.210 18.388 17.327 16.668 16.128 15.369 14.756 14.671  0.757 
 1   9.27  0.05  0.54749 -1.266 3.605  4.810  8.00  0.032 0.72 15.550 19.001 17.910 16.636 15.751 14.894 13.915 13.264 13.119  0.547 
 1   9.27  0.05  0.72963 -0.790 3.657  4.664 11.30  0.038 0.00 18.044 20.650 19.715 18.609 17.920 17.377 16.602 15.964 15.883  0.730 
 1   9.27  0.07  0.20760 -2.212 3.538  5.067  7.10  0.027 0.90 16.792 21.492 20.094 18.571 17.492 16.210 15.008 14.450 14.205  0.208 
 1   9.29 -0.01  0.34470 -1.780 3.569  4.977  8.00  0.032 0.00 17.221 21.157 19.967 18.592 17.620 16.569 15.508 14.923 14.724  0.345 
 1   9.29 -0.01  1.43998  0.769 3.819  4.050  8.70  0.035 0.00 11.549 12.009 12.010 11.567 11.293 11.052 10.765 10.547 10.525  1.440 
 1   9.29 -0.01  0.88197 -0.372 3.718  4.574 11.20  0.038 0.00 16.900 18.439 17.983 17.118 16.628 16.221 15.659 15.206 15.154  0.882 
 1   9.29  0.25  0.53701 -1.306 3.598  4.811  9.20  0.036 0.90 16.632 20.183 19.099 17.848 16.939 15.993 14.968 14.305 14.163  0.537 
 1   9.29  0.41  1.13162  0.159 3.773  4.370 11.30  0.038 0.88 15.243 16.347 16.055 15.325 14.915 14.585 14.158 13.831 13.793  1.132 
 1   9.31 -0.37  1.08167  0.269 3.815  4.407 13.70  0.038 0.00 17.797 18.213 18.307 17.865 17.579 17.319 17.013 16.770 16.750  1.082 
 1   9.31 -0.13  0.67724 -0.882 3.652  4.703  9.00  0.036 0.00 15.975 18.593 17.678 16.567 15.868 15.314 14.524 13.871 13.784  0.677 
 1   9.31 -0.09  0.86368 -0.387 3.719  4.584  9.80  0.037 0.00 15.539 17.031 16.607 15.754 15.269 14.864 14.305 13.853 13.801  0.864 
 1   9.31  0.01  1.68314  1.723 3.677  2.597  8.50  0.034 0.00  8.964 11.265 10.428  9.335  8.760  8.280  7.575  7.019  6.948  1.683 
 1   9.31  0.05  1.67433  1.702 3.674  2.601 10.40  0.038 0.00 10.916 13.317 12.429 11.312 10.724 10.235  9.515  8.950  8.876  1.674 
 1   9.31  0.15  0.73756 -0.785 3.655  4.657 10.30  0.038 0.00 17.032 19.715 18.737 17.613 16.914 16.362 15.580 14.941 14.858  0.738 
 1   9.33 -0.43  0.64383 -0.881 3.662  4.721  9.10  0.036 0.91 15.517 17.951 17.152 16.079 15.403 14.855 14.081 13.447 13.354  0.644 
 1   9.33 -0.35  1.43821  0.940 3.821  3.885  9.80  0.037 0.00 12.220 12.635 12.672 12.265 11.999 11.755 11.465 11.243 11.221  1.438 
 1   9.33 -0.33  1.20413  0.527 3.836  4.280  6.60  0.024 0.80  9.788 10.178 10.244  9.831  9.564  9.322  9.033  8.802  8.781  1.204 
 1   9.33 -0.27  1.57499  1.765 3.691  2.579  8.80  0.035 0.73  9.114 10.912 10.368  9.414  8.894  8.443  7.797  7.277  7.215  1.575 
 1   9.33 -0.15  1.39594  0.772 3.826  4.063  8.40  0.034 0.00 11.240 11.642 11.671 11.265 11.005 10.774 10.502 10.295 10.274  1.396 
 1   9.33 -0.11  0.70980 -0.797 3.661  4.676  8.90  0.036 0.88 15.164 17.766 16.867 15.759 15.061 14.501 13.711 13.064 12.975  0.710 
 1   9.33 -0.03  1.34690  0.641 3.816  4.135  8.90  0.036 0.00 12.067 12.540 12.549 12.093 11.811 11.563 11.268 11.042 11.019  1.347 
